$Student

 CNT          'Country code 3-character'                                                                                                                                                                                  
 ST034Q05TA   'Agree/disagree:  Other students seem to like me.'                                                                                                                                                          
 ST034Q06TA   'Agree/disagree:  I feel lonely at school.'                                                                                                                                                                 
 ST038Q03NA   'In past 12 months, how often: Other students left me out of things on purpose.'                                                                                                                            
 ST038Q04NA   'In past 12 months, how often: Other students made fun of me.'                                                                                                                                              
 ST038Q05NA   'In past 12 months, how often: I was threatened by other students.'                                                                                                                                         
 ST038Q06NA   'In past 12 months, how often: Other students took away or destroyed things that belonged to me.'                                                                                                           
 ST038Q07NA   'In past 12 months, how often: I got hit or pushed around by other students.'                                                                                                                               
 ST038Q08NA   'In past 12 months, how often: Other students spread nasty rumours about me.'                                                                                                                               
 ST038Q09JA   'In past 12 months, how often: I was in a physical fight on school property.'                                                                                                                               
 ST038Q10JA   'In past 12 months, how often: I stayed home from school because I felt unsafe.'                                                                                                                            
 ST038Q11JA   'In past 12 months, how often: I gave money to someone at school because they threatened me.'                                                                                                               
 ST265Q01JA   'Agree/disagree: I feel safe on my way to school.'                                                                                                                                                          
 ST265Q02JA   'Agree/disagree: I feel safe on my way home from school.'                                                                                                                                                   
 ST265Q03JA   'Agree/disagree: I feel safe in my classrooms at school.'                                                                                                                                                   
 ST265Q04JA   'Agree/disagree: I feel safe at other places at school (e.g. hallway, cafeteria, restroom).'                                                                                                                
 ST266Q01JA   'Occur during past four weeks:  Our school was vandalised.'                                                                                                                                                 
 ST266Q02JA   'Occur during past four weeks:  I witnessed a fight on school property in which someone got hurt.'                                                                                                          
 ST266Q03JA   'Occur during past four weeks:  I saw gangs in school.'                                                                                                                                                     
 ST266Q04JA   'Occur during past four weeks:  I heard a student threaten to hurt another student.'                                                                                                                        
 ST266Q05JA   'Occur during past four weeks:  I saw a student carrying a gun or knife at school.'                                                                                                                         
 ST294Q01JA   'How many days/wk before school: Eat breakfast'                                                                                                                                                             
 ST294Q02JA   'How many days/wk before school: Study for school or homework'                                                                                                                                              
 ST294Q03JA   'How many days/wk before school: Work in the household or take care of family members'                                                                                                                      
 ST294Q04JA   'How many days/wk before school: Work for pay'                                                                                                                                                              
 ST294Q05JA   'How many days/wk before school: Exercise or practise a sport (e.g. running, cycling, aerobics, soccer, skating, [country-specific])'                                                                       
 ST295Q01JA   'How many days/wk after school: Eat dinner'                                                                                                                                                                 
 ST295Q02JA   'How many days/wk after school: Study for school or homework'                                                                                                                                               
 ST295Q03JA   'How many days/wk after school: Work in the household or take care of family members'                                                                                                                       
 ST295Q04JA   'How many days/wk after school: Work for pay'                                                                                                                                                               
 ST295Q05JA   'How many days/wk after school: Exercise or practise a sport (e.g. running, cycling, aerobics, soccer, skating, [country-specific])'                                                                        
 ST326Q01JA   'This school year, how many hours/day use [digital resources] for: For learning activities at school'                                                                                                       
 ST326Q02JA   'This school year, how many hours/day use [digital resources] for: For learning activities before and after school'                                                                                         
 ST326Q03JA   'This school year, how many hours/day use [digital resources] for: For learning activities on weekends'                                                                                                     
 ST326Q04JA   'This school year, how many hours/day use [digital resources] for: For leisure at school'                                                                                                                   
 ST326Q05JA   'This school year, how many hours/day use [digital resources] for: For leisure before and after school'                                                                                                     
 ST326Q06JA   'This school year, how many hours/day use [digital resources] for: For leisure on weekends'                                                                                                                 
 ST326Q07JA   'This school year, how many hours/day use [digital resources] for: For learning activities at school'                                                                                                       
 ST326Q08JA   'This school year, how many hours/day use [digital resources] for: For learning activities before and after school'                                                                                         
 ST326Q09JA   'This school year, how many hours/day use [digital resources] for: For learning activities on weekends'                                                                                                     
 ST326Q10JA   'This school year, how many hours/day use [digital resources] for: For leisure at school'                                                                                                                   
 ST326Q11JA   'This school year, how many hours/day use [digital resources] for: For leisure before and after school'                                                                                                     
 ST326Q12JA   'This school year, how many hours/day use [digital resources] for: For leisure on weekends'                                                                                                                 
 ST322Q01JA   'How often: I turn off notifications from social networks and apps on my [digital devices] during class.'                                                                                                   
 ST322Q02JA   'How often: I turn off notifications from social networks and apps on my [digital devices] when I go to sleep.'                                                                                             
 ST322Q03JA   'How often: I keep my [digital device] near me to answer messages when I am home.'                                                                                                                          
 ST322Q04JA   'How often:  I have my [digital device] open in class so I can take notes or search for information.'                                                                                                       
 ST322Q06JA   'How often: I feel pressured to be online and answer messages when I am in class.'                                                                                                                          
 ST322Q07JA   'How often:  I feel nervous/anxious when I don't have my [digital device] near me.'                                                                                                                         
 ST307Q01JA   'Agree/disagree: I keep working on a task until it is finished.'                                                                                                                                            
 ST307Q02JA   'Agree/disagree: I apply additional effort when work becomes challenging.'                                                                                                                                  
 ST307Q03JA   'Agree/disagree: I finish tasks that I started even when they become boring.'                                                                                                                               
 ST307Q04JA   'Agree/disagree: I stop when work becomes too difficult.'                                                                                                                                                   
 ST307Q05JA   'Agree/disagree: I am more persistent than most people I know.'                                                                                                                                             
 ST307Q06JA   'Agree/disagree: I give up after making mistakes.'                                                                                                                                                          
 ST307Q07JA   'Agree/disagree: I quit doing homework if it is too long.'                                                                                                                                                  
 ST307Q08JA   'Agree/disagree: I complete tasks even when they become more difficult than I thought.'                                                                                                                     
 ST307Q09JA   'Agree/disagree: I finish what I start.'                                                                                                                                                                    
 ST307Q10JA   'Agree/disagree: I give up easily.'                                                                                                                                                                         
 ST309Q01JA   'Agree/disagree: I am careful with what I say to others.'                                                                                                                                                   
 ST309Q02JA   'Agree/disagree: I get easily distracted.'                                                                                                                                                                  
 ST309Q03JA   'Agree/disagree: I say the first thing that comes to my mind.'                                                                                                                                              
 ST309Q04JA   'Agree/disagree: I like to make sure there are no mistakes.'                                                                                                                                                
 ST309Q05JA   'Agree/disagree: I carefully check homework before turning it in.'                                                                                                                                          
 ST309Q06JA   'Agree/disagree: I stop to think before acting.'                                                                                                                                                            
 ST309Q07JA   'Agree/disagree: I rush into activities without thinking.'                                                                                                                                                  
 ST309Q08JA   'Agree/disagree: I wait for my turn to speak in class.'                                                                                                                                                     
 ST309Q09JA   'Agree/disagree: I am more impulsive than most people I know.'                                                                                                                                              
 ST309Q10JA   'Agree/disagree: I think carefully before doing something.'                                                                                                                                                 
 ST301Q01JA   'Agree/disagree: I am curious about many different things.'                                                                                                                                                 
 ST301Q02JA   'Agree/disagree: I like to ask questions.'                                                                                                                                                                  
 ST301Q03JA   'Agree/disagree: I get frustrated when I have to learn the details of a topic.'                                                                                                                             
 ST301Q04JA   'Agree/disagree: I like to know how things work.'                                                                                                                                                           
 ST301Q05JA   'Agree/disagree: I love learning new things in school.'                                                                                                                                                     
 ST301Q06JA   'Agree/disagree: I am more curious than most people I know.'                                                                                                                                                
 ST301Q07JA   'Agree/disagree: I like to develop hypotheses and check them based on what I observe.'                                                                                                                      
 ST301Q08JA   'Agree/disagree: I find learning new things to be boring.'                                                                                                                                                  
 ST301Q09JA   'Agree/disagree: I spend time to find more information about things that interest me.'                                                                                                                      
 ST301Q10JA   'Agree/disagree: I like learning new things.'                                                                                                                                                               
 ST343Q01JA   'Agree/disagree: I like to help others.'                                                                                                                                                                    
 ST343Q02JA   'Agree/disagree: I get annoyed when I have to compromise with others.'                                                                                                                                      
 ST343Q03JA   'Agree/disagree: I work well with other people.'                                                                                                                                                            
 ST343Q04JA   'Agree/disagree: I start arguments with others.'                                                                                                                                                            
 ST343Q05JA   'Agree/disagree: I avoid working together with other students.'                                                                                                                                             
 ST343Q06JA   'Agree/disagree: I am ready to help anybody.'                                                                                                                                                               
 ST343Q07JA   'Agree/disagree: I tend to be selfish.'                                                                                                                                                                     
 ST343Q08JA   'Agree/disagree: I work better when I am part of a team.'                                                                                                                                                   
 ST343Q09JA   'Agree/disagree: I enjoy cooperating with my classmates.'                                                                                                                                                   
 ST343Q10JA   'Agree/disagree: I argue a lot.'                                                                                                                                                                            
 ST311Q01JA   'Agree/disagree: I do not care what happens to other people.'                                                                                                                                               
 ST311Q02JA   'Agree/disagree: I can sense how others feel.'                                                                                                                                                              
 ST311Q03JA   'Agree/disagree: It is important to me that my friends are okay.'                                                                                                                                           
 ST311Q04JA   'Agree/disagree: I can see situations from my friends' perspectives.'                                                                                                                                       
 ST311Q05JA   'Agree/disagree: I ignore the feelings of others.'                                                                                                                                                          
